iter	Passed	Remaining
0	1105	938885
1	1129	478869
2	2191	618634
3	3178	672222
4	4427	748186
5	5935	834949
6	7201	867316
7	7220	759956
8	7260	678498
9	8517	715439
10	9741	742990
11	11018	769432
12	12372	796569
13	13764	821944
14	15100	840609
15	16365	853046
16	17704	867512
17	18897	873480
18	20179	882599
19	21249	881847
20	22535	889635
21	23743	893633
22	24995	898765
23	26323	905977
24	27406	904417
25	28927	916783
26	30218	921103
27	31527	925569
28	31546	893086
29	32787	896183
30	34056	899763
31	35412	905234
32	36790	910838
33	38014	912337
34	39339	916049
35	40753	921478
36	42126	925648
37	43413	927674
38	44594	927337
39	45750	926449
40	47063	928643
41	48401	931145
42	49692	932607
43	51086	935814
44	52592	940816
45	54072	945085
46	55436	947142
47	56737	947987
48	56745	927616
49	58140	930245
50	59579	933415
51	60900	934586
52	62178	935018
53	63455	935379
54	64530	932761
55	65827	933336
56	67126	933878
57	68396	933963
58	69622	933413
59	70803	932241
60	72110	932703
61	73387	932734
62	74532	931064
63	75879	931892
64	77263	933110
65	78344	930643
66	79613	930403
67	80864	929938
68	82242	930891
69	83742	933130
70	85217	934991
71	86657	936385
72	88004	936704
73	89241	935831
74	90604	936246
75	90624	922936
76	92119	924787
77	93568	926085
78	94976	926924
79	96302	926911
80	97800	928503
81	99217	929252
82	100479	928529
83	101786	928196
84	103064	927579
85	104313	926693
86	105557	925755
87	106972	926285
88	108185	925047
89	109618	925669
90	110941	925329
91	112358	925733
92	113726	925705
93	115181	926350
94	116522	926048
95	117832	925476
96	119104	924591
97	120429	924111
98	121746	923550
99	123052	922891
100	124391	922465
101	125764	922272
102	125781	912224
103	127156	912100
104	128552	912108
105	130131	913377
106	131464	912879
107	132837	912642
108	134114	911732
109	135468	911335
110	136855	911136
111	138193	910598
112	139374	909020
113	140784	908924
114	142165	908620
115	143402	907393
116	144802	907178
117	145893	905032
118	147278	904712
119	148780	905082
120	150168	904731
121	151500	904036
122	152880	903613
123	154168	902633
124	155420	901437
125	156847	901253
126	158036	899687
127	159410	899176
128	160803	898755
129	162220	898452
130	163609	897976
131	164985	897421
132	166421	897172
133	167900	897140
134	169252	896410
135	170551	895394
136	171889	894577
137	173382	894555
138	173390	886911
